iter	Passed	Remaining
0	209	62596
1	275	41032
2	338	33515
3	401	29683
4	466	27522
5	547	26826
6	634	26558
7	714	26080
8	796	25754
9	885	25678
10	966	25397
11	1045	25089
12	1116	24654
13	1186	24238
14	1255	23847
15	1320	23435
16	1380	22980
17	1445	22640
18	1539	22769
19	1612	22569
20	1682	22350
21	1774	22416
22	1844	22217
23	1919	22077
24	2015	22175
25	2095	22080
26	2176	22003
27	2263	21990
28	2342	21887
29	2418	21767
30	2501	21706
31	2583	21636
32	2655	21488
33	2734	21391
34	2811	21285
35	2877	21102
36	2940	20900
37	3034	20922
38	3142	21028
39	3214	20895
40	3287	20769
41	3366	20676
42	3443	20583
43	3519	20479
44	3595	20373
45	3654	20179
46	3726	20059
47	3795	19927
48	3875	19849
49	3948	19740
50	4025	19653
51	4111	19609
52	4178	19474
53	4240	19319
54	4316	19229
55	4390	19128
56	4456	19000
57	4526	18888
58	4599	18789
59	4666	18665
60	4748	18605
61	4830	18544
62	4896	18421
63	4996	18426
64	5072	18340
65	5132	18196
66	5197	18075
67	5232	17851
68	5285	17696
69	5373	17655
70	5454	17593
71	5564	17621
72	5674	17644
73	5763	17601
74	5820	17460
75	6184	18229
76	6314	18286
77	6353	18084
78	6435	18002
79	6512	17909
80	6553	17717
81	6636	17642
82	6709	17541
83	6791	17464
84	6824	17262
85	6886	17136
86	6961	17044
87	7032	16941
88	7100	16832
89	7144	16671
90	7207	16554
91	7286	16474
92	7354	16368
93	7407	16232
94	7514	16214
95	7553	16051
96	7618	15943
97	7673	15816
98	7737	15709
99	7795	15590
100	7899	15564
101	7983	15498
102	8064	15423
103	8103	15271
104	8182	15196
105	8258	15114
106	8344	15051
107	8380	14898
108	8477	14854
109	8559	14784
110	8637	14707
111	8719	14636
112	8769	14512
113	8871	14474
114	8961	14415
115	9043	14344
116	9118	14261
117	9187	14169
118	9262	14088
119	9331	13997
120	9395	13898
121	9462	13805
122	9541	13730
123	9576	13592
124	9645	13504
125	9703	13400
126	9852	13420
127	9948	13368
128	10049	13321
129	10121	13236
130	10199	13158
131	10287	13093
132	10370	13022
133	10430	12921
134	10491	12822
135	10552	12724
136	10614	12629
137	10673	12529
138	10730	12429
139	10797	12340
140	10860	12246
141	10924	12155
142	10995	12072
143	11058	11980
144	11122	11889
145	11189	11803
146	11256	11716
147	11315	11621
148	11366	11519
149	11406	11406
150	11470	11318
151	11531	11227
152	11593	11138
153	11659	11053
154	11733	10976
155	11799	10891
156	11861	10803
157	11922	10715
158	11984	10628
159	12045	10539
160	12107	10453
161	12170	10367
162	12233	10282
163	12298	10198
164	12368	10119
165	12439	10041
166	12506	9960
167	12567	9874
168	12632	9792
169	12701	9712
170	12762	9627
171	12829	9547
172	12893	9464
173	12962	9386
174	13026	9304
175	13093	9224
176	13153	9140
177	13216	9058
178	13274	8973
179	13330	8886
180	13396	8807
181	13465	8730
182	13527	8648
183	13590	8568
184	13649	8484
185	13706	8400
186	13767	8319
187	13837	8243
188	13892	8159
189	13953	8078
190	14012	7996
191	14071	7915
192	14131	7834
193	14188	7752
194	14248	7672
195	14307	7591
196	14371	7514
197	14429	7433
198	14500	7359
199	14567	7283
200	14638	7210
201	14700	7131
202	14761	7053
203	14823	6975
204	14883	6897
205	14941	6818
206	15005	6741
207	15069	6665
208	15131	6588
209	15192	6511
210	15253	6433
211	15312	6356
212	15373	6279
213	15434	6202
214	15493	6125
215	15558	6050
216	15625	5976
217	15685	5900
218	15753	5826
219	15817	5751
220	15877	5675
221	15933	5598
222	15991	5521
223	16049	5445
224	16105	5368
225	16170	5294
226	16231	5219
227	16285	5142
228	16340	5066
229	16397	4990
230	16454	4915
231	16512	4839
232	16574	4765
233	16637	4692
234	16699	4618
235	16760	4545
236	16824	4472
237	16882	4397
238	16942	4324
239	17002	4250
240	17041	4171
241	17101	4098
242	17158	4024
243	17216	3951
244	17274	3877
245	17333	3804
246	17396	3732
247	17461	3661
248	17522	3588
249	17588	3517
250	17657	3447
251	17712	3373
252	17774	3301
253	17853	3233
254	17920	3162
255	17982	3090
256	18109	3029
257	18196	2962
258	18260	2890
259	18324	2819
260	18383	2746
261	18462	2677
262	18533	2607
263	18604	2536
264	18668	2465
265	18739	2395
266	18797	2323
267	18863	2252
268	18941	2182
269	19009	2112
270	19072	2040
271	19141	1970
272	19202	1899
273	19260	1827
274	19319	1756
275	19377	1684
276	19435	1613
277	19492	1542
278	19593	1474
279	19674	1405
280	19740	1334
281	19841	1266
282	19912	1196
283	19989	1126
284	20071	1056
285	20133	985
286	20196	914
287	20255	843
288	20312	773
289	20382	702
290	20446	632
291	20508	561
292	20569	491
293	20632	421
294	20694	350
295	20752	280
296	20810	210
297	20865	140
298	20927	69
299	20999	0
