transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR00001,FI,2,167,2,4,Production,Rejected,HIGH
TR00002,FI,2,42,0,3,Production,Rejected,HIGH
TR00003,FI,3,236,0,2,Development,Rejected,HIGH
TR00004,HR,3,175,0,1,Development,Pending,MEDIUM
TR00005,MM,6,279,2,4,Development,Pending,HIGH
TR00006,FI,6,56,1,4,Quality,Rejected,HIGH
TR00007,FI,3,169,2,0,Quality,Rejected,HIGH
TR00008,HR,2,249,2,4,Quality,Approved,HIGH
TR00009,MM,2,58,2,2,Quality,Rejected,HIGH
TR00010,MM,2,245,2,2,Production,Pending,HIGH
TR00011,MM,6,251,0,1,Quality,Approved,MEDIUM
TR00012,MM,4,68,0,3,Production,Rejected,HIGH
TR00013,MM,1,197,1,3,Quality,Approved,HIGH
TR00014,FI,2,73,0,0,Development,Rejected,LOW
TR00015,SD,2,24,2,4,Production,Rejected,HIGH
TR00016,SD,2,180,1,2,Production,Pending,MEDIUM
TR00017,HR,4,253,2,1,Quality,Pending,HIGH
TR00018,MM,5,260,1,2,Quality,Rejected,MEDIUM
TR00019,MM,4,132,1,2,Production,Rejected,MEDIUM
TR00020,SD,6,196,1,0,Quality,Rejected,MEDIUM
TR00021,HR,2,216,0,1,Quality,Approved,MEDIUM
TR00022,FI,1,239,2,3,Production,Pending,HIGH
TR00023,HR,3,66,2,0,Development,Pending,HIGH
TR00024,FI,5,10,1,0,Production,Approved,MEDIUM
TR00025,SD,1,53,2,0,Development,Approved,HIGH
TR00026,FI,4,177,1,0,Development,Pending,HIGH
TR00027,FI,4,275,1,2,Quality,Pending,HIGH
TR00028,FI,6,31,0,1,Quality,Approved,LOW
TR00029,SD,5,172,0,0,Production,Pending,MEDIUM
TR00030,SD,6,59,0,0,Production,Approved,LOW
TR00031,SD,5,195,2,3,Quality,Pending,HIGH
TR00032,MM,5,173,1,2,Production,Rejected,MEDIUM
TR00033,HR,4,125,1,3,Quality,Pending,HIGH
TR00034,MM,2,210,0,0,Production,Pending,MEDIUM
TR00035,SD,3,16,1,4,Quality,Pending,HIGH
TR00036,SD,5,248,1,4,Production,Approved,HIGH
TR00037,MM,2,135,2,4,Production,Pending,HIGH
TR00038,HR,2,90,2,2,Quality,Pending,HIGH
TR00039,MM,6,81,1,4,Production,Approved,HIGH
TR00040,HR,5,53,1,3,Quality,Pending,HIGH
TR00041,FI,1,292,2,4,Production,Pending,HIGH
TR00042,SD,3,123,0,4,Production,Approved,HIGH
TR00043,SD,5,75,1,0,Development,Approved,MEDIUM
TR00044,MM,4,90,1,3,Production,Approved,HIGH
TR00045,MM,4,105,2,2,Production,Approved,HIGH
TR00046,MM,4,300,1,2,Quality,Rejected,MEDIUM
TR00047,SD,5,169,1,4,Quality,Rejected,HIGH
TR00048,MM,3,23,0,1,Quality,Pending,LOW
TR00049,FI,4,133,2,0,Production,Approved,HIGH
TR00050,FI,5,41,0,2,Production,Rejected,LOW
TR00051,SD,6,128,0,2,Production,Rejected,MEDIUM
TR00052,SD,2,113,2,3,Development,Pending,HIGH
TR00053,MM,5,270,0,1,Production,Approved,MEDIUM
TR00054,FI,1,123,0,3,Production,Approved,HIGH
TR00055,FI,2,288,1,2,Quality,Approved,HIGH
TR00056,HR,4,100,0,4,Production,Approved,HIGH
TR00057,FI,1,226,1,4,Development,Approved,HIGH
TR00058,FI,3,129,0,2,Production,Approved,HIGH
TR00059,FI,1,103,1,3,Production,Approved,HIGH
TR00060,MM,5,58,0,3,Development,Rejected,HIGH
TR00061,HR,5,288,0,2,Quality,Approved,MEDIUM
TR00062,MM,2,67,0,2,Quality,Pending,LOW
TR00063,FI,2,172,1,4,Development,Pending,HIGH
TR00064,HR,4,256,0,1,Quality,Approved,MEDIUM
TR00065,HR,3,186,0,3,Development,Approved,HIGH
TR00066,SD,5,130,1,4,Quality,Pending,HIGH
TR00067,HR,4,70,1,3,Quality,Approved,HIGH
TR00068,SD,5,83,2,4,Quality,Pending,HIGH
TR00069,FI,4,256,0,0,Quality,Rejected,HIGH
TR00070,HR,3,75,1,3,Production,Pending,HIGH
TR00071,HR,3,10,2,3,Production,Approved,HIGH
